texto,intencion,sesgo
¿DÓNDE INVIERTO?,pedir_recomendacion,ninguno
DIME EL ESTADO DE MIS INVERSIONES,consultar_cartera,ninguno
toy pensando en vender mis tech stocks!,quiero_vender,ninguno
"necesito liquidez, quiero vender por favor",quiero_vender,ninguno
¿dónde puedo invertir para ganar dinero?,pedir_recomendacion,ninguno
oye ¿qué es la capitalización bursátil?,explicar_concepto,ninguno
¿cuál es el valor total de mis activos?!,consultar_cartera,ninguno
¿qué es el riesgo en inversiones? urgente,explicar_concepto,ninguno
quiero invertir en tech,quiero_comprar,ninguno
quiero comprar mi primera acción!,quiero_comprar,ninguno
¿cuánto vale mi cartera?,consultar_cartera,ninguno
¿en qué sector debo invertir?,pedir_recomendacion,ninguno
quiero vender mis pérdidas,quiero_vender,ninguno
"disculpa, ¿qué tal está mi portfolio?",consultar_cartera,ninguno
muéstrame mis inversiones,consultar_cartera,ninguno
¿dónde puedo invertir para ganar dinero? por favor,pedir_recomendacion,ninguno
estoy pensando en liquidar mi cartera,quiero_vender,ninguno
¿qué significa P/E ratio?,explicar_concepto,ninguno
¿qué me recomiendas?,pedir_recomendacion,ninguno
dónde invierto?,pedir_recomendacion,ninguno
necesito vender para comprar otra cosa,quiero_vender,ninguno
¿qué es un índice bursátil? por favor,explicar_concepto,ninguno
necesito vender para comprar otra cosa,quiero_vender,ninguno
¿qué es el riesgo en inversiones?,explicar_concepto,ninguno
quiero comprar mi primera acción por favor,quiero_comprar,ninguno
¿QUÉ ACCIÓN ME RECOMIENDAN COMPRAR?,pedir_recomendacion,ninguno
oye ¿qué tal si compro Tesla?,quiero_comprar,ninguno
oye ¿es buen momento para vender?,quiero_vender,ninguno
¿QUÉ ME RECOMIENDAN COMPRAR?,quiero_comprar,ninguno
qué es un índice bursátil?,explicar_concepto,ninguno
quiero invertir en tech,quiero_comprar,ninguno
quiero diversificar mi portafolio,quiero_comprar,ninguno
estoy considerando comprar ETFs,quiero_comprar,ninguno
"necesito liquidez, quiero vender!",quiero_vender,ninguno
muéstrame mis inversiones,consultar_cartera,ninguno
voy a reducir mi exposición,quiero_vender,ninguno
necesito salirme de Apple,quiero_vender,ninguno
¿es buen momento para vender?!,quiero_vender,ninguno
voy a salir del mercado por favor,quiero_vender,ninguno
necesito ver el estado de mis activos,consultar_cartera,ninguno
¿cómo está funcionando mi inversión?,consultar_cartera,ninguno
explícame qué es un fondo mutuo,explicar_concepto,ninguno
¿dónde puedo invertir para ganar dinero?,pedir_recomendacion,ninguno
¿qué me recomiendan para principiantes? por favor,pedir_recomendacion,ninguno
"necesito liquidez, quiero vender urgente",quiero_vender,ninguno
¿qué tal si compro Tesla?!,quiero_comprar,ninguno
oye necesito ver el estado de mis activos,consultar_cartera,ninguno
oye estoy pensando en liquidar mi cartera,quiero_vender,ninguno
¿debería vender todo ahora?,quiero_vender,ninguno
¿es buen momento para comprar Apple?,quiero_comprar,ninguno
¿qué acción me recomiendan comprar?,pedir_recomendacion,ninguno
¿qué es el riesgo en inversiones? urgente,explicar_concepto,ninguno
estoy considerando vender mis ganancias,quiero_vender,ninguno
quiero entrar en el mercado,quiero_comprar,ninguno
¿qué tal si compro Tesla?!,quiero_comprar,ninguno
necesito vender para comprar otra cosa,quiero_vender,ninguno
¿qué es un ETF?,explicar_concepto,ninguno
"disculpa, ¿cómo van mis acciones?",consultar_cartera,ninguno
QUIERO VENDER MIS PÉRDIDAS,quiero_vender,ninguno
necesito un resumen de mi cartera,consultar_cartera,ninguno
dime el valor de mis acciones,consultar_cartera,ninguno
¿cuál es el valor actual de mi portafolio?!,consultar_cartera,ninguno
¿QUÉ ES EL RSI?,explicar_concepto,ninguno
"disculpa, ¿qué es la volatilidad?",explicar_concepto,ninguno
¿qué es la capitalización bursátil? por favor,explicar_concepto,ninguno
¿qué tal está mi portfolio?!,consultar_cartera,ninguno
necesito un resumen de mi cartera,consultar_cartera,ninguno
oye ¿cómo se calcula el rendimiento?,explicar_concepto,ninguno
estoy buscando oportunidades de inversión,quiero_comprar,ninguno
en qué debería poner mi dinero?,pedir_recomendacion,ninguno
¿cómo se calcula el rendimiento?,explicar_concepto,ninguno
MUÉSTRAME MIS INVERSIONES,consultar_cartera,ninguno
estoy pensando en comprar acciones por favor,quiero_comprar,ninguno
explícame qué es una acción,explicar_concepto,ninguno
¿dónde me conviene invertir?,pedir_recomendacion,ninguno
oye ¿qué acción me recomiendan comprar?,pedir_recomendacion,ninguno
explícame qué es diversificación,explicar_concepto,ninguno
estoy pensando en invertir en biotecnología,quiero_comprar,ninguno
¿dónde me recomiendan invertir a largo plazo?,pedir_recomendacion,ninguno
¿qué es la capitalización bursátil?!,explicar_concepto,ninguno
oye ¿qué es un índice bursátil?,explicar_concepto,ninguno
¿qué rendimiento tengo?,consultar_cartera,ninguno
oye ¿cuánto he ganado/perdido?,consultar_cartera,ninguno
¿cuál es el valor total de mis activos?,consultar_cartera,ninguno
¿cómo se calcula el rendimiento?,explicar_concepto,ninguno
¿qué es la capitalización bursátil? urgente,explicar_concepto,ninguno
¿qué tal si compro Tesla?,quiero_comprar,ninguno
¿en qué sector debo invertir? por favor,pedir_recomendacion,ninguno
debería vender todo aora?,quiero_vender,ninguno
quiero invertir en tech!,quiero_comprar,ninguno
¿qué recomiendan para mi cartera?,pedir_recomendacion,ninguno
¿cuál es el valor actual de mi portafolio?,consultar_cartera,ninguno
"disculpa, ¿qué es un ETF?",explicar_concepto,ninguno
¿qué es el RSI?,explicar_concepto,ninguno
¿qué es buena inversión ahora?!,pedir_recomendacion,ninguno
¿debería meter dinero en NVDA? por favor,quiero_comprar,ninguno
"disculpa, ¿es buen momento para comprar Apple?",quiero_comprar,ninguno
quiero vender mis pérdidas,quiero_vender,ninguno
¿qué es un ETF?,explicar_concepto,ninguno
necesito vender para comprar otra cosa urgente,quiero_vender,ninguno
oye ¿qué me recomiendan para principiantes?,pedir_recomendacion,ninguno
estoy considerando comprar ETFs por favor,quiero_comprar,ninguno
¿QUÉ ME RECOMIENDAN COMPRAR?,quiero_comprar,ninguno
¿debería meter dinero en NVDA? urgente,quiero_comprar,ninguno
oye ¿dónde puedo invertir para ganar dinero?,pedir_recomendacion,ninguno
¿qué es un ETF?,explicar_concepto,ninguno
quiero invertir en tech por favor,quiero_comprar,ninguno
QUIERO ENTRAR EN EL MERCADO,quiero_comprar,ninguno
¿dónde me conviene invertir?,pedir_recomendacion,ninguno
me gustaría invertir en criptomonedas,quiero_comprar,ninguno
dime el estado de mis inversiones!,consultar_cartera,ninguno
¿qué rendimiento tengo?!,consultar_cartera,ninguno
ME GUSTARÍA INVERTIR EN CRIPTOMONEDAS,quiero_comprar,ninguno
me gustaría invertir en criptomonedas,quiero_comprar,ninguno
"¿me pueden dar una recomendación?, el mercado se viene abajo",pedir_recomendacion,panico
"voy a liquidar todo, no quiero comprar nada",quiero_comprar,panico
"¡VENDO TODO! Esto se hunde, voy a vender todo ya",quiero_vender,panico
"¿qué significa diversificar?, estoy un poco preocupado por la volatilidad reciente",explicar_concepto,panico
"¿dónde me recomiendan invertir a largo plazo?, tal vez sea prudente salirme de algunas posiciones volátiles",pedir_recomendacion,panico
"¿qué es la capitalización bursátil?, el mercado está colapsando",explicar_concepto,panico
"¿qué es la volatilidad?, no estoy seguro de mantener estas posiciones en este entorno",explicar_concepto,panico
"¿en qué debería poner mi dinero?, ¡estoy quebrando!",pedir_recomendacion,panico
"el mercado está colapsando, voy a vender todo ya",quiero_vender,panico
"no puedo más con estas pérdidas, no quiero comprar nada",quiero_comprar,panico
"No estoy muy cómodo con el nivel de riesgo actual, no quiero comprar nada",quiero_comprar,panico
"Quizás debería ser más conservador por un tiempo, voy a vender todo ya",quiero_vender,panico
"Quizás sea bueno tener más efectivo disponible, no quiero comprar nada",quiero_comprar,panico
"¿dónde puedo invertir para ganar dinero?, tal vez sea prudente salirme de algunas posiciones volátiles",pedir_recomendacion,panico
¿Cuánto he perdido? ¡no puedo creer que esté perdiendo tanto!,consultar_cartera,panico
"¿qué es la volatilidad?, voy a liquidar todo",explicar_concepto,panico
¿Cuánto he perdido? voy a liquidar todo,consultar_cartera,panico
"¿qué es la capitalización bursátil?, voy a liquidar todo",explicar_concepto,panico
"¿qué significa diversificar?, estoy un poco preocupado por la volatilidad reciente",explicar_concepto,panico
"No sé, igual debería reducir un poco mi exposición antes de que pase algo, voy a vender todo ya",quiero_vender,panico
"Estoy un poco preocupado por la volatilidad reciente, voy a vender todo ya",quiero_vender,panico
"¿qué es el beta?, esto es una masacre",explicar_concepto,panico
"No estoy seguro de mantener estas posiciones en este entorno, voy a vender todo ya",quiero_vender,panico
"¿qué acción es buena compra?, ¡vendo todo! esto se hunde",pedir_recomendacion,panico
"voy a liquidar todo, voy a vender todo ya",quiero_vender,panico
"no puedo aguantar más, no quiero comprar nada",quiero_comprar,panico
"¿qué acción es buena compra?, no estoy seguro de mantener estas posiciones en este entorno",pedir_recomendacion,panico
"¿cómo se calcula el rendimiento?, el mercado está colapsando",explicar_concepto,panico
"Quizás debería tomar algunas ganancias antes de que cambie el mercado, voy a vender todo ya",quiero_vender,panico
"¿qué me dicen de invertir en crypto?, estoy pensando en reducir mi riesgo un poco",pedir_recomendacion,panico
"¿dónde me recomiendan invertir a largo plazo?, ¡no puedo creer que esté perdiendo tanto!",pedir_recomendacion,panico
¿Cuánto he perdido? quizás sea bueno tener más efectivo disponible,consultar_cartera,panico
¿Cuánto he perdido? no estoy seguro de mantener estas posiciones en este entorno,consultar_cartera,panico
"Quizás sea bueno tener más efectivo disponible, no quiero comprar nada",quiero_comprar,panico
"No estoy seguro de mantener estas posiciones en este entorno, no quiero comprar nada",quiero_comprar,panico
"explícame qué es un bono, tengo que salir antes de que sea peor",explicar_concepto,panico
"¿qué es el riesgo en inversiones?, no estoy seguro de mantener estas posiciones en este entorno",explicar_concepto,panico
¿Cuánto he perdido? estoy un poco preocupado por la volatilidad reciente,consultar_cartera,panico
¿Cuánto he perdido? el mercado se viene abajo,consultar_cartera,panico
"¡no puedo creer que esté perdiendo tanto!, no quiero comprar nada",quiero_comprar,panico
"¡VENDO TODO! Esto se hunde, no quiero comprar nada",quiero_comprar,panico
¿Cuánto he perdido? el mercado se viene abajo,consultar_cartera,panico
"¿en qué sector debo invertir?, ¡no puedo creer que esté perdiendo tanto!",pedir_recomendacion,panico
"explícame qué es una acción, quizás debería tomar algunas ganancias antes de que cambie el mercado",explicar_concepto,panico
"¿qué me sugieren hacer con mi dinero?, ¡estoy arruinado!",pedir_recomendacion,panico
"¿en qué debería poner mi dinero?, esto es una masacre",pedir_recomendacion,panico
"¿dónde puedo obtener buenos rendimientos?, ¡estoy arruinado!",pedir_recomendacion,panico
"esto es una masacre, no quiero comprar nada",quiero_comprar,panico
¿Cuánto he perdido? estoy un poco preocupado por la volatilidad reciente,consultar_cartera,panico
"No sé, igual debería reducir un poco mi exposición antes de que pase algo, voy a vender todo ya",quiero_vender,panico
¿Cuánto he perdido? ¡no puedo creer que esté perdiendo tanto!,consultar_cartera,panico
"¿qué es un índice bursátil?, ¡esto es un desastre!",explicar_concepto,panico
"¿qué acción me recomiendan comprar?, estoy pensando en reducir mi riesgo un poco",pedir_recomendacion,panico
"No estoy muy cómodo con el nivel de riesgo actual, no quiero comprar nada",quiero_comprar,panico
"¿qué acción es buena compra?, esto es una masacre",pedir_recomendacion,panico
"el mercado se viene abajo, no quiero comprar nada",quiero_comprar,panico
"¿en qué sector debo invertir?, quizás debería tomar algunas ganancias antes de que cambie el mercado",pedir_recomendacion,panico
"¿qué me recomiendan para principiantes?, no sé, igual debería reducir un poco mi exposición antes de que pase algo",pedir_recomendacion,panico
¿Cuánto he perdido? quizás debería ser más conservador por un tiempo,consultar_cartera,panico
¿Cuánto he perdido? estoy pensando en reducir mi riesgo un poco,consultar_cartera,panico
"¿cómo funciona el trading?, no estoy seguro de mantener estas posiciones en este entorno",explicar_concepto,panico
¿Cuánto he perdido? no estoy seguro de mantener estas posiciones en este entorno,consultar_cartera,panico
"¡estoy quebrando!, voy a vender todo ya",quiero_vender,panico
"esto es una masacre, voy a vender todo ya",quiero_vender,panico
"¿qué es el riesgo en inversiones?, quizás debería ser más conservador por un tiempo",explicar_concepto,panico
¿Cuánto he perdido? estoy pensando en reducir mi riesgo un poco,consultar_cartera,panico
"¡no puedo creer que esté perdiendo tanto!, no quiero comprar nada",quiero_comprar,panico
"Estoy pensando en reducir mi riesgo un poco, no quiero comprar nada",quiero_comprar,panico
"explícame qué es el dividendo, ¡esto es un desastre!",explicar_concepto,panico
¿Cuánto he perdido? quizás debería ser más conservador por un tiempo,consultar_cartera,panico
"¿qué me dicen de invertir en crypto?, no sé, igual debería reducir un poco mi exposición antes de que pase algo",pedir_recomendacion,panico
"explícame qué es diversificación, no estoy muy cómodo con el nivel de riesgo actual",explicar_concepto,panico
"¡estoy arruinado!, no quiero comprar nada",quiero_comprar,panico
"¿qué acción es buena compra?, no puedo aguantar más",pedir_recomendacion,panico
"¡esto es un desastre!, no quiero comprar nada",quiero_comprar,panico
"explícame qué es un fondo mutuo, quizás debería ser más conservador por un tiempo",explicar_concepto,panico
"¿me pueden dar una recomendación?, quizás sea bueno tener más efectivo disponible",pedir_recomendacion,panico
¿Cuánto he perdido? quizás debería ser más conservador por un tiempo,consultar_cartera,panico
¿Cuánto he perdido? no puedo más con estas pérdidas,consultar_cartera,panico
"¿cómo funciona el mercado de valores?, quizás sea bueno tener más efectivo disponible",explicar_concepto,panico
"¡estoy quebrando!, no quiero comprar nada",quiero_comprar,panico
"¿qué me recomiendan para principiantes?, esto es una masacre",pedir_recomendacion,panico
¿Cuánto he perdido? no puedo aguantar más,consultar_cartera,panico
"¡estoy arruinado!, no quiero comprar nada",quiero_comprar,panico
"el mercado se viene abajo, no quiero comprar nada",quiero_comprar,panico
"explícame qué es diversificación, no puedo más con estas pérdidas",explicar_concepto,panico
"¿qué es la volatilidad?, estoy un poco preocupado por la volatilidad reciente",explicar_concepto,panico
"Quizás sea bueno tener más efectivo disponible, voy a vender todo ya",quiero_vender,panico
¿Cuánto he perdido? ¡estoy arruinado!,consultar_cartera,panico
"¿dónde puedo obtener buenos rendimientos?, no estoy muy cómodo con el nivel de riesgo actual",pedir_recomendacion,panico
"Tal vez deba reconsiderar mi exposición al riesgo, no quiero comprar nada",quiero_comprar,panico
"¿dónde invierto?, ¡esto es un desastre!",pedir_recomendacion,panico
"no puedo aguantar más, voy a vender todo ya",quiero_vender,panico
"Quizás debería tomar algunas ganancias antes de que cambie el mercado, voy a vender todo ya",quiero_vender,panico
"¿Cuánto he perdido? no sé, igual debería reducir un poco mi exposición antes de que pase algo",consultar_cartera,panico
¿Cuánto he perdido? estoy pensando en reducir mi riesgo un poco,consultar_cartera,panico
"Estoy un poco preocupado por la volatilidad reciente, voy a vender todo ya",quiero_vender,panico
¿Cuánto he perdido? ¡no puedo creer que esté perdiendo tanto!,consultar_cartera,panico
"no puedo más con estas pérdidas, no quiero comprar nada",quiero_comprar,panico
"Estoy un poco preocupado por la volatilidad reciente, voy a vender todo ya",quiero_vender,panico
"¿qué es el RSI?, tal vez deba reconsiderar mi exposición al riesgo",explicar_concepto,panico
¿Cuánto he perdido? el mercado está colapsando,consultar_cartera,panico
"explícame qué es un fondo mutuo, no sé, igual debería reducir un poco mi exposición antes de que pase algo",explicar_concepto,panico
"¿qué me recomiendan para principiantes?, voy a liquidar todo",pedir_recomendacion,panico
"¿dónde puedo invertir para ganar dinero?, no estoy seguro de mantener estas posiciones en este entorno",pedir_recomendacion,panico
"¿qué es un índice bursátil?, tal vez deba reconsiderar mi exposición al riesgo",explicar_concepto,panico
¿Cuánto he perdido? ¡esto es un desastre!,consultar_cartera,panico
¿Cuánto he perdido? ¡vendo todo! esto se hunde,consultar_cartera,panico
¿Cuánto he perdido? quizás sea bueno tener más efectivo disponible,consultar_cartera,panico
¿Cuánto he perdido? no estoy muy cómodo con el nivel de riesgo actual,consultar_cartera,panico
"¿qué significa P/E ratio?, ¡vendo todo! esto se hunde",explicar_concepto,panico
¿Cuánto he perdido? quizás debería tomar algunas ganancias antes de que cambie el mercado,consultar_cartera,panico
"No estoy seguro de mantener estas posiciones en este entorno, voy a vender todo ya",quiero_vender,panico
