texto,intencion,sesgo
toy pensando en vender mis posiciones desbalanceadas,quiero_vender,ninguno
ayuda ¡voy a perder mi alma!,pedir_recomendacion,panico
"ayuda compré a 190, necesito volver a 190",pedir_recomendacion,anchoring
¿cómo funciona el anchoring bias?,pedir_recomendacion,ninguno
todos están en la liga de los ricos,pedir_recomendacion,fomo
todos están viajando por el mundo,pedir_recomendacion,fomo
nadie puede cuestionarme,pedir_recomendacion,overconfidence
nadie puede ganarle al mercado como yo,pedir_recomendacion,overconfidence
¿QUÉ RECOMIENDAN PARA MI CARTERA?,pedir_recomendacion,ninguno
nadie puede predecir como yo,pedir_recomendacion,overconfidence
explícame qué es diversificación!,explicar_concepto,ninguno
NADIE PUEDE DUDAR DE MI GENIO,pedir_recomendacion,overconfidence
"mi precio de compra fue 108, espero ese nivel!!!",pedir_recomendacion,anchoring
necesito un resumen de mi cartera,consultar_cartera,ninguno
¿debería comprar más de esta acción?,quiero_comprar,ninguno
¿CUÁL ES LA MEJOR INVERSIÓN EN ASIA?,pedir_recomendacion,ninguno
necesito un resumen ejecutivo de mi cartera urgente,consultar_cartera,ninguno
"ayuda la compré a 20, ese es mi punto de equilibrio",pedir_recomendacion,anchoring
"mi precio de compra fue 120, espero ese nivel por favor",pedir_recomendacion,anchoring
necesito ver mis resultados mensuales urgente,consultar_cartera,ninguno
¿cuál es la mejor inversión para principiantes?!,pedir_recomendacion,ninguno
¿cómo funciona el valuation?,explicar_concepto,ninguno
oye dime el valor total de mi portafolio,consultar_cartera,ninguno
oye ¿qué acción me recomiendan vender?,pedir_recomendacion,ninguno
"la compré a 50, no vendo por debajo de 50",pedir_recomendacion,anchoring
"ayuda la compré a 24, ese es mi punto de equilibrio",pedir_recomendacion,anchoring
¿qué es una criptomoneda?,explicar_concepto,ninguno
¿dónde puedo invertir en tiempos de incertidumbre?,pedir_recomendacion,ninguno
quiero vender mis acciones especulativas urgente,quiero_vender,ninguno
quiero vender mis posiciones de infraestructura urgente,quiero_vender,ninguno
¿qué significa spread de crédito?,explicar_concepto,ninguno
¡esto es una condena! por favor,pedir_recomendacion,panico
voy a vender mis acciones de salud,quiero_vender,ninguno
ayuda tengo que liquidar antes del colapso total,pedir_recomendacion,panico
ayuda no puedo aceptar esta pérdida,pedir_recomendacion,loss_aversion
dime el valor de mis acciones,consultar_cartera,ninguno
es buen momento para vender?,quiero_vender,ninguno
"la compré a 62, no vendo por debajo de 62",pedir_recomendacion,anchoring
¿qué significa liquidity? urgente,explicar_concepto,ninguno
¿cuál es el valor actual de mi portafolio?,consultar_cartera,ninguno
mi inteligencia es incomparable!!!,pedir_recomendacion,overconfidence
mejor lo dejo por favor,pedir_recomendacion,loss_aversion
¿es buena idea comprar tecnología?,quiero_comprar,ninguno
oye estoy considerando vender mis posiciones de mercados desarrollados,quiero_vender,ninguno
¿dónde invierto mi dinero extra?,pedir_recomendacion,ninguno
ayuda ¡no puedo más con esta angustia!,pedir_recomendacion,panico
¿es buena idea comprar ahora?,quiero_comprar,ninguno
necesito información sobre crypto,pedir_recomendacion,ninguno
¿cuál es el valor de mis posiciones? urgente,consultar_cartera,ninguno
¿es buena idea comprar ahora? urgente,quiero_comprar,ninguno
soy un iluminado,pedir_recomendacion,overconfidence
¿cómo funciona el análisis de indicadores?,explicar_concepto,ninguno
¡estoy perdiendo la oportunidad de mi vida!,pedir_recomendacion,fomo
oye ¿en qué debería invertir para jubilación?,pedir_recomendacion,ninguno
dime el performance de mi cartera urgente,consultar_cartera,ninguno
¿cómo funciona el análisis monetario?,explicar_concepto,ninguno
¿qué es el rendimiento de dividendos?!,explicar_concepto,ninguno
nadie puede entender mi profundidad ahora,pedir_recomendacion,overconfidence
¿qué me dicen de invertir en tecnología?,pedir_recomendacion,ninguno
¿dónde me conviene invertir?!,pedir_recomendacion,ninguno
